Timestamp Offset,Video Name,Location,Vehicle ID,Plate Box (xyxy),Plate English,Plate Devanagari,Confidence
00:02,temp_input_5.mp4,Kathmandu Gate F,24,"[942, 285, 984, 298]",DCDEBA,DCDEबअ,0.0689
00:03,temp_input_5.mp4,Kathmandu Gate F,187,"[394, 273, 439, 287]",IS U N U5C1,IS U N U५C१,0.0103
00:08,temp_input_4.mp4,Kathmandu Gate E,296,"[976, 575, 1037, 626]",AND34,अND३४,0.0900
00:08,temp_input_5.mp4,Kathmandu Gate F,187,"[299, 364, 361, 387]",JN D O RN4N,JN D O RN४N,0.0394
00:03,temp_input_5.mp4,Kathmandu Gate F,64,"[966, 287, 1013, 299]",UANBE,UअNबE,0.1132
00:08,temp_input_4.mp4,Kathmandu Gate E,296,"[924, 565, 1011, 612]",D3N4O,D३N४O,0.1635
00:03,temp_input_5.mp4,Kathmandu Gate F,64,"[1005, 295, 1055, 307]",DR 5 I J8E,DR ५ I J८E,0.0773
00:04,temp_input_5.mp4,Kathmandu Gate F,311,"[364, 274, 418, 290]",RP 8 A 0105,RP ८ अ ०१०५,0.1533
00:04,temp_input_5.mp4,Kathmandu Gate F,64,"[1023, 289, 1075, 301]",DDODE,DDODE,0.0359
00:04,temp_input_4.mp4,Kathmandu Gate E,55,"[55, 634, 200, 691]",FA DE TON 2820,FA DE TON २८२०,0.1163
00:10,temp_input_4.mp4,Kathmandu Gate E,296,"[885, 533, 960, 572]",N034D,N०३४D,0.1127
00:10,temp_input_4.mp4,Kathmandu Gate E,296,"[1069, 429, 1107, 451]",EECLMD,EECLMD,0.0678
00:04,temp_input_5.mp4,Kathmandu Gate F,64,"[1054, 304, 1111, 318]",RJIABE,RJIअबE,0.0595
00:10,temp_input_4.mp4,Kathmandu Gate E,24,"[1069, 428, 1111, 452]",ECLIMO,ECLIMO,0.1283
00:04,temp_input_5.mp4,Kathmandu Gate F,187,"[347, 285, 404, 304]",DUJCG,DUJCG,0.0964
00:04,temp_input_5.mp4,Kathmandu Gate F,311,"[347, 285, 404, 302]",DUJCG,DUJCG,0.0516
00:10,temp_input_5.mp4,Kathmandu Gate F,187,"[4, 577, 98, 608]",AN 4 T 0N5,AN ४ T ०N५,0.0025
00:04,temp_input_4.mp4,Kathmandu Gate E,55,"[58, 631, 236, 689]",ALJLDLD4AZI09,अLJLDLD४अZI०९,0.1865
00:04,temp_input_5.mp4,Kathmandu Gate F,134,"[1058, 477, 1211, 555]",NT D E 680,NT D E ६८०,0.0550
00:11,temp_input_5.mp4,Kathmandu Gate F,519,"[1216, 284, 1305, 306]",UDVSET,UDVSET,0.1126
00:12,temp_input_4.mp4,Kathmandu Gate E,296,"[878, 514, 927, 540]",CE 0 D 007,CE ० D ००७,0.0710
00:05,temp_input_4.mp4,Kathmandu Gate E,55,"[75, 633, 247, 688]",MLDLOIDUARK09,MLDLOIDUअRK०९,0.2369
00:12,temp_input_4.mp4,Kathmandu Gate E,296,"[894, 489, 934, 510]",GG 4 Q EER,GG ४ Q EER,0.0253
00:05,temp_input_5.mp4,Kathmandu Gate F,519,"[1193, 564, 1314, 600]",OOSSQERCILUCKL,OOSSQERCILUCKL,0.0348
00:12,temp_input_5.mp4,Kathmandu Gate F,497,"[865, 267, 911, 281]",LI C O 0VNR,LI C O ०VNR,0.0214
00:12,temp_input_5.mp4,Kathmandu Gate F,519,"[869, 266, 911, 282]",KGUNED,KGUNED,0.0236
00:05,temp_input_4.mp4,Kathmandu Gate E,55,"[57, 632, 239, 688]",ULDLDIDLPAEI09,ULDLDIDLPअEI०९,0.2040
00:13,temp_input_5.mp4,Kathmandu Gate F,497,"[977, 293, 1042, 313]",UL 9 GZ 9402,UL ९ GZ ९४०२,0.1316
00:05,temp_input_4.mp4,Kathmandu Gate E,55,"[40, 640, 221, 690]",MLOLOLDLUGR09,MLOLOLDLUGR०९,0.2167
00:15,temp_input_5.mp4,Kathmandu Gate F,155,"[899, 407, 951, 423]",MV U N 1DD,MV U N १DD,0.0395
00:06,temp_input_4.mp4,Kathmandu Gate E,134,"[1025, 410, 1055, 428]",FULVC6,FULVC६,0.0793
00:16,temp_input_5.mp4,Kathmandu Gate F,155,"[897, 408, 950, 424]",U4496,U४४९६,0.0284
00:06,temp_input_4.mp4,Kathmandu Gate E,55,"[57, 633, 239, 686]",ULALALDLUCEL09,ULअLअLDLUCEL०९,0.4290
00:16,temp_input_5.mp4,Kathmandu Gate F,155,"[905, 392, 956, 409]",LN U DR UUDJ,LN U DR UUDJ,0.0337
00:06,temp_input_4.mp4,Kathmandu Gate E,55,"[89, 637, 268, 681]",ALARALD067109,अLअRअLD०६७१०९,0.3685
00:17,temp_input_5.mp4,Kathmandu Gate F,155,"[950, 362, 1003, 378]",LH 4 P E96,LH ४ P E९६,0.0086
00:18,temp_input_5.mp4,Kathmandu Gate F,155,"[992, 400, 1057, 419]",LB 4 A P96,LB ४ अ P९६,0.1294
